symbol,sell_1d,neutral_1d,buy_1d,recommendation_1d,sell_1h,neutral_1h,buy_1h,recommendation_1h
MOEX:UNKL,14,9,3,SELL,13,11,2,SELL
MOEX:UPRO,15,9,2,SELL,16,10,0,STRONG_SELL
MOEX:UWGN,12,10,4,SELL,9,9,8,NEUTRAL
MOEX:VEON-RX,15,8,3,SELL,14,10,2,SELL
MOEX:VKCO,14,10,2,SELL,4,10,12,BUY
MOEX:VRSB,7,10,9,NEUTRAL,16,9,1,STRONG_SELL
MOEX:VSMO,7,10,9,NEUTRAL,13,9,4,SELL
MOEX:VTBR,2,10,14,BUY,5,9,12,BUY
MOEX:WUSH,6,9,11,BUY,11,10,5,SELL
MOEX:YAKG,4,10,12,BUY,8,10,8,NEUTRAL
MOEX:YNDX,1,10,15,BUY,0,9,17,STRONG_BUY
