date,status,kinorium ID,imdb ID,kinopoisk ID
11-07-2016 02:40:00,8,,,32898
11-07-2016 02:40:00,8,,,586397
11-07-2016 02:38:00,8,,,555
11-07-2016 02:37:00,8,,,394
11-07-2016 02:36:00,7,,,382
11-07-2016 02:36:00,7,,,408410
11-07-2016 02:36:00,8,,,12198
11-07-2016 02:35:00,8,,,4541
11-07-2016 02:35:00,7,,,5502
11-07-2016 02:35:00,6,,,336
11-07-2016 02:34:00,6,,,535341
11-07-2016 02:34:00,9,,,526
11-07-2016 02:34:00,9,,,522
11-07-2016 02:33:00,8,,,195334
11-07-2016 02:33:00,7,,,447301
11-07-2016 02:33:00,7,,,476
11-07-2016 02:32:00,7,,,389
11-07-2016 02:32:00,8,,,342
11-07-2016 02:32:00,7,,,326
11-07-2016 02:32:00,7,,,435
21-06-2016 01:32:00,5,,,421360
19-06-2016 02:02:00,8,,,461862
17-04-2016 22:07:00,4,,,781432
09-04-2016 23:28:00,7,,,778218
31-03-2016 01:36:00,6,,,427198
31-03-2016 01:36:00,6,,,309423
24-01-2016 01:36:00,8,,,402
01-01-2016 15:43:00,7,,,714888
01-11-2015 16:50:00,6,,,736205
26-10-2015 18:52:00,5,,,260162
11-09-2015 18:35:00,8,,,309
23-08-2015 18:10:00,9,,,683999
23-08-2015 18:09:00,8,,,692861
07-08-2015 11:05:00,7,,,278522
07-08-2015 11:03:00,8,,,694633
07-08-2015 11:03:00,7,,,408876
07-08-2015 11:01:00,8,,,678549
03-08-2015 10:30:00,7,,,722827
03-08-2015 10:30:00,9,,,725190
02-08-2015 15:38:00,8,,,749540
19-07-2015 21:31:00,8,,,20590
19-07-2015 03:57:00,8,,,195434
05-07-2015 17:57:00,6,,,436225
17-06-2015 22:43:00,8,,,161143
17-06-2015 22:40:00,7,,,81924
17-06-2015 22:39:00,8,,,276598
17-06-2015 22:39:00,8,,,262076
17-06-2015 22:38:00,10,,,645118
15-05-2015 23:21:00,8,,,715
10-05-2015 01:48:00,8,,,259251
20-03-2015 00:45:00,6,,,158786
19-03-2015 22:19:00,5,,,521526
18-07-2014 03:06:00,7,,,325
18-07-2014 03:05:00,8,,,111543
26-05-2014 23:58:00,8,,,588
19-05-2014 16:16:00,8,,,5916
19-05-2014 16:00:00,7,,,515
19-05-2014 15:59:00,8,,,2931
19-05-2014 02:05:00,8,,,530
19-05-2014 02:02:00,4,,,55830
19-05-2014 01:54:00,8,,,278273
